_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,Güncelleme Tarihi / Updated as of,42437.0,_unnamed_7,USD/TRY=,2.9201,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27
Sayý,ISIN Kodu,Ýlgili Menkul Kýymet,Ýhraçcý Kurum,Ýhraç Türü,Getiri Türü,MK Türü,Yýllýk Kupon Sayýsý,Para Birimi,Grup Kodu,Ýlk Ýhraç Tarihi,Ýtfa Tarihi,Vadeye Kalan Gün,Toplam Ýhraç Tutarý Nom.,Son Ýhraç Tarihi,Son Ýhraç Fiyatý,Son Ýhraç Getirisi % (yýllýk basit),Gösterge Fiyat,Sonraki Kupon Tarihi,Sonraki Kupon Oraný %,Ek Getiri (%) (*),Dolaþýmdaki Tutar,Emir Giriþ Yöntemi,Ýþlemiþ Faiz/Kira,Temiz Fiyat,Kirli Fiyat,Takas Fiyatý,Getiri,Bileþik Getiri,Gün Sayým Konvansiyonu,Açýklamalar
No,ISIN Code,Related Security,Issuer,Type of Issuance,Type of Yield,Type of Security,Number of Coupons p.a.,Currency,Group Code,First Issue Date,Maturity Date,Days to Maturity,Total Issue Amount Nom.,Last Issue date,Last Issue Price,Last Issue Yield % (simple p.a.),Reference Price (TRY),Next Coupon Date,Next Coupon Rate %,Spread (%) (*),Outstanding Value,Quotation Method,Accrued Int./Lease,Clean Price,Dirty Price,Settlement Price,Yield,Compound Yield,Day Count Convention,Remarks
,,,,,,,,,,,,,(1000 TRY/USD/EUR),,,,,,,,(1000 TRY),,,,,,,,,
34.0,TRT210721T11,,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40758.0,44398.0,1961.0,7603300.234,40954.0,99.339,3.7,145.862,42578.0,1.5,,11090325.7873,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
35.0,TRT210721T29,TRT210721T11,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,44398.0,1961.0,,40758.0,,,145.862,,,,,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
36.0,TRT270716K29,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,42578.0,141.0,,40758.0,,,2.109,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
37.0,TRT250117K26,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,42760.0,323.0,,40758.0,,,2.083,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
38.0,TRT260717K29,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,42942.0,505.0,,40758.0,,,2.057,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
39.0,TRT240118K26,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,43124.0,687.0,,40758.0,,,2.031,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
40.0,TRT250718K11,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,43306.0,869.0,,40758.0,,,2.006,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
41.0,TRT230119K18,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,43488.0,1051.0,,40758.0,,,1.981,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
42.0,TRT240719K11,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,43670.0,1233.0,,40758.0,,,1.956,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
43.0,TRT220120K16,TRT210721T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40758.0,43852.0,1415.0,,40758.0,,,1.932,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
